STATUS | VIDEO_ID | TITLE | ARTISTS | ALBUM | DURATION
PENDING | 9efhbC2tf5E | Legion (Slaughterlord Cover) | At The Gates | Slaughter Of The Soul | 3:55
PENDING | 5if5vCznP9Q | The Dying | At The Gates | Slaughter Of The Soul | 3:19
PENDING | _xd0sg-EVu0 | Captor Of Sin (Slayer Cover) | At The Gates | Slaughter Of The Soul | 3:20
PENDING | -Q9zhnXCKkQ | Unto Others (95 Demo version) | At The Gates | Slaughter Of The Soul | 3:06
PENDING | 9LuyDUbcldI | Suicide Nation (95 Demo version) | At The Gates | Slaughter Of The Soul | 3:22
PENDING | XXLFtx8snrw | Bister Verklighet (No Security Cover) | At The Gates | Slaughter Of The Soul | 1:56
PENDING | PP5D0FS4aVE | Dost Yüregi | Diken | Hedef Büyük | 5:40
PENDING | 4M2x0iABcks | Önderim Ben | Diken | Hedef Büyük | 4:31
PENDING | l-POhpqnTV4 | Hep Hükmeden | Diken | Hedef Büyük | 4:27
PENDING | f7Qz085gBpo | Güneye Gidenler | Nejat Yavaşoğulları | Bulutsuzluk Özlemi | 3:09
PENDING | 3cd8M_jGp_M | Geçti Dost Kervanı | Ergüder Yoldaş | Anılarla Moğollar & Silüetler | 3:47
PENDING | 35fDiBvEELY | Atmaca | Marsis | Karadeniz'e Kalan | 5:42
PENDING | uEas3ZhEn2s | Emmioğlu | Cem Karaca | Efsane Şarkılar | 3:23
PENDING | 2U_pRJsKIco | Sinav (Kosu Basladi) | Ogün Sanlisoy | Sınav Ost | 3:25
PENDING | edKD5kSlNpg | Gitme Dönmezsin | Ogün Sanlisoy | Üc | 5:16
PENDING | o8Ox7TH0nmQ | Ne Yerdeyim Ne Gökte | Ogün Sanlisoy | Üc | 5:07
PENDING | p9tX-mzY6cQ | Kendin Oldun | Ogün Sanlisoy | Üc | 4:43
PENDING | G6WDyI4Jbos | Dön Evine | Ogün Sanlisoy | Üc | 4:46
PENDING | ZGeiX1p2F8E | Kaos | Hayko Cepkin | Tanışma Bitti | 3:58
PENDING | PcysE-rDpm0 | Yalnız Kalsın | Hayko Cepkin | Tanışma Bitti | 3:30
PENDING | O0iDSQz94Xo | Bertaraf Et | Hayko Cepkin | Tanışma Bitti | 2:54
PENDING | Jadoz9BmYMM | Set Me Free!! | Cem Köksal | Set Me Free!! | 6:10
PENDING | CaglIC93rXY | Yeter Be | Barış Akarsu | Düşmeden Bulutlarda Koşmam Gerek | 2:51
PENDING | 2XTQ4jgDMDs | Aralık | Nekropsi | Aylık Monthly | 10:12
PENDING | YUybuxImWcE | Ögret Bana | Diken | Hedef Büyük | 4:25
PENDING | tX5xEdVkeuw | Shehrazad | Almora | Shehrâzad | 4:25
PENDING | 0_rsLPelGmQ | Rules for the Fools | Dr. Skull | Rools 4 Fools | 5:38
PENDING | 0qOfxwJByDE | Elalem | Gripin | Hikayeler Anlatıldı 2. Baskı | 4:19
PENDING | CB4xAL1rySw | The Wolf | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 1:33
PENDING | ABsslEoL0-c | Society | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 3:57
PENDING | _EZUfnMv3Lg | Hard Sun | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 5:23
PENDING | rNFUg1R6pMc | Tuolumne | Singles | Singles Plays Into the Wild | 2:20
PENDING | S5LFCE-_hNY | Long Nights | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 2:32
PENDING | GXQSRuLeSEM | Rise | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 2:37
PENDING | zP-6sau1Jmo | Far Behind | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 2:16
PENDING | oO4O8Xpvp_Q | No Ceiling | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 1:35
PENDING | KDlsH8MbDbs | Setting Forth | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 1:38
PENDING | 2KhX6HAkxs8 | The Parting | Katatonia | Dead End Kings (Deluxe Edition) | 4:53
PENDING | kNdgYTmTNUk | Çoban Yıldızı | Teoman | Yavaş Yavaş - A | 3:12
PENDING | Ach4Gr8yh6w | Serseri | Teoman | Eski Bir Rüya Uğruna... | 3:42
PENDING | xh0eMq61EFY | Beat It | Michael Jackson | Michael Jackson's This Is It | 4:18
PENDING | lHQQq-9VbDg | Love etc. | Pet Shop Boys | Love etc. | 3:35
PENDING | GsHZBisKwxg | They Don't Care About Us (Remastered Version) | Michael Jackson | Michael Jackson's This Is It | 4:45
PENDING | yqoGdtxg0JE | Love Don't Let Me Go | David Guetta | Just a Little More Love | 3:37
PENDING | Ujyk1ZmDkHU | Written in the Stars (feat. Eric Turner) | Tinie Tempah | Written in the Stars (feat. Eric Turner) | 3:28
PENDING | MJD39Aja1Is | Remember the Name (feat. Styles of Beyond) | Fort Minor | Petrified / Remember the Name | 3:51
PENDING | zyPS6QuYjac | Mortal Kombat | Baby Group | Mi piaci se ti muovi (Madagascar e altri film per bambini) | 3:23
PENDING | GWtSamzbGOs | Freestyler | Bomfunk MC's | In Stereo | 5:06
PENDING | DDS--TDlVq0 | Mortal Kombat Theme (Game Theme) | Misterioustheme | Mortal Kombat Theme (Game Theme) | 3:28
PENDING | IEHbmydVeeA | Don't Bother | Shakira | Oral Fixation, Vol. 2 (Expanded Edition) | 4:20
PENDING | Fno-Akxow_c | She Wolf | Shakira | She Wolf (Expanded Edition) | 3:09
PENDING | k0hFEdFgz2I | Lethean | Katatonia | Dead End Kings (Deluxe Edition) | 4:40
PENDING | NrVqLGQlieA | Blue (Da Ba Dee) (DJ Ponte Ice Pop Radio) | Eiffel 65 | Europop | 4:44
PENDING | FChMHEfzOLI | Got the Life | Korn | Follow The Leader | 3:46
PENDING | 0mlH-DfSkwg | Pink | Aerosmith | Nine Lives | 3:56
PENDING | VyV54YwPAkk | American Idiot | Green Day | American Idiot | 2:55
PENDING | dpQ4SG1KX94 | Yarın Olmaz | Teoman | Teoman | 3:53
PENDING | jcgUCpP_7NE | Her Gün Aradıysam | Teoman | Teoman | 3:23
PENDING | x81SMw8qUh0 | Blind | Korn | Korn | 4:19
PENDING | PUlUkds-jdE | Ruins | Shade Empire | Omega Arcane | 8:04
PENDING | OhfvzxYXlBU | Kill The King | Rainbow | Long Live Rock N Roll (Deluxe Edition) | 4:28
PENDING | ewS_DmtPghM | Antisocial | Anthrax | State Of Euphoria | 4:25
PENDING | nMa0UntsmAA | Born to Lose (2009 Remaster) | Black Sabbath | The Eternal Idol | 3:44
PENDING | hUR6H8l4MXI | Holy Water | Tony Iommi, Ian Gillan, WhoCares, Steve Morris, and Michael Lee Jackson | Out of My Mind / Holy Water | 7:00
PENDING | pEDM990-o8E | You Don't Know | Eminem, 50 Cent, Cashis, Lloyd Banks | Eminem Presents The Re-Up | 4:18
PENDING | NxVBDqbPXDc | My Propeller | Arctic Monkeys | Humbug | 3:26
PENDING | KsZPy9PegiI | Uncle Jonny | The Killers | Sam's Town | 4:26
PENDING | xagvv6R7WVM | Bling (Confession Of A King) | The Killers | Sam's Town | 4:09
PENDING | KhR7ihjERqc | Enterlude | The Killers | Sam's Town | 0:50
PENDING | GQzDG-tILbo | Sam's Town | The Killers | Sam's Town | 4:07
PENDING | s2gtQJiM5Zg | When You Were Young | The Killers | Sam's Town | 3:41
PENDING | pH0Ps1n1ojM | Lose Yourself | Eminem | Curtain Call: The Hits (Deluxe Edition) | 5:27
PENDING | UqTJgAHtg4o | Hall of the Mountain King | Savatage | Hall of the Mountain King (2011 Edition) | 5:34
PENDING | XrHjKN2bjb0 | Jesus of Suburbia | Green Day | American Idiot | 9:09
PENDING | oCX10iZmc3M | Enjoy the Ride (feat. Judie Tzuke) | Morcheeba | Dive Deep | 4:06
PENDING | Bwn5DLmf4wI | The Boy Does Nothing | Alesha Dixon | The Boy Does Nothing (International Bundle 1) | 3:30
PENDING | YBigI8sQPAk | Alain Delon (feat. Sıla) | Ozan Doğulu | 130 Bpm Quartet | 3:52
PENDING | 0Tl08kTvod0 | Papaoutai | Stromae | racine carrée | 3:53
PENDING | g6R7vAMLKuY | Dale Papi | Lariss | Dale Papi | 2:51
PENDING | 1WiKcdLd1Jk | Idle Blood | Katatonia | Night Is the New Day | 4:23
PENDING | GFDnquHMVow | Strained | Katatonia | Tonight's Decision | 4:16
PENDING | pLOF6X3yg7Y | My Twin | Katatonia | The Great Cold Distance | 3:42
PENDING | q1SJ5VuRIzc | Bad Company | Five Finger Death Punch | War is the Answer | 4:23
PENDING | DU0pQ-x4LI4 | The Melancholy Spirit (2016 - Remaster) | Agalloch | Pale Folklore (2016 - Remaster) | 12:24
PENDING | vXc3lJ9Zvn0 | Güneşimden Kaç | Bulutsuzluk Özlemi | Yaşamaya Mecbursun | 7:34
PENDING | y0U3aASO3dM | Like a Knife in the Back | Twisted Sister | You Can't Stop Rock 'N' Roll | 3:05
PENDING | fBX80FHgba0 | Ain't Nobody (Loves Me Better) [Acoustic] | Jasmine Thompson | Ain't Nobody (Loves Me Better) [Acoustic] (Acoustic Version) | 2:59
PENDING | rYvPPNPl3fQ | The Gale | Insomnium | Above The Weeping World | 2:42
PENDING | tZ6eirWxI_0 | Drawn To Black | Insomnium | Above The Weeping World | 6:01
PENDING | wb0Wfft5bzg | Change Of Heart | Insomnium | Above The Weeping World | 4:31
PENDING | 2Ssfhj8WDP0 | At The Gates Of Sleep | Insomnium | Above The Weeping World | 7:06
PENDING | eANnGqDgCFo | Last Statement | Insomnium | Above The Weeping World | 7:33
PENDING | Ik7-b02LIaA | Devoid Of Caring | Insomnium | Above The Weeping World | 5:41
PENDING | 1uAUJsozCbI | In The Groves Of Death | Insomnium | Above The Weeping World | 10:08
PENDING | EdLuXj25GF8 | Mortal Share | Insomnium | Above The Weeping World | 4:00
PENDING | 1UzYicE478Y | Metal Forever | Fueled By Fire | Spread the Fire | 3:24
PENDING | k0lXE1sbwD4 | Repentless | Slayer | Repentless | 3:20
PENDING | ZcSoW_iLDo0 | Alison Hell | Annihilator | Alice In Hell | 5:02
PENDING | 9tXyEV6R2jQ | Dayan | Replikas | Avaz | 5:29
PENDING | 0po0WjtMHAw | Ömür Sayacı | Replikas | Avaz | 3:26
PENDING | RBE4bhY9P4I | Gece Kadar Rahatsız Etmiyor | Replikas | Avaz | 2:51
PENDING | rkNc8SRhqO8 | Bitti Deme | Replikas | Zerre | 3:52
PENDING | YhYnKfbgFfQ | Bugun Varim Yarin Yokum | Replikas | Zerre | 3:40
PENDING | DBzuYNK95sM | Ten Years Gone (1990 Remaster) | Led Zeppelin | Physical Graffiti (1994 Remaster) | 6:32
PENDING | ZyvYov886aQ | ? (feat. Kurious) | MF DOOM | Operation: Doomsday (Complete) | 3:09
PENDING | ZyvYov886aQ | ? (feat. Kurious) | MF DOOM | Operation: Doomsday (Complete) | 3:09
PENDING | CB2kpp4uH10 | Disturbia | Rihanna | Disturbia | 4:01
PENDING | DFMuOi2GiBo | Judas | Lady Gaga | Born This Way (International Special Edition Version) | 4:10
PENDING | aPkU5b0fziI | Star of Nothingness | Dark Tranquillity | Zero Distance EP | 2:09
PENDING | YTH8cxXBGBo | Paranoid Android | Radiohead | OK Computer | 6:28
PENDING | -nPlo3wM-Zw | We Will Rock You | Queen | News Of The World | 2:03
PENDING | i9qZ4Tntg8I | A Change of Seasons - The Crimson Sunrise / Innocence / Carpe Diem / The Darkest of Winters / Another World / The Inevitable Summer / The Crimson Sunset | Dream Theater | A Change of Seasons | 23:09
PENDING | UU-L2IvrYsc | Bitter Sweet Symphony | The Verve | This Is Music: The Singles 92-98 | 6:00
PENDING | 9PpXu-2fPHc | Dream On | Aerosmith | Aerosmith | 4:28
PENDING | oKz5dCrItRA | Not Gonna Get Us | t.A.T.u. | 200 KM/H In The Wrong Lane (10th Anniversary Edition) | 4:22
PENDING | mWt-0hViBxE | All About Us | t.A.T.u. | Dangerous and Moving | 3:01
PENDING | pQcETTRjCik | How Soon Is Now? | t.A.T.u. | t.A.T.u. - The Best | 3:15
PENDING | QpFOTXYs438 | Pieces | Sum 41 | Chuck | 3:03
PENDING | 5-XIKtAGVi4 | Another One | Patrice | Free-Patri-Ation | 3:21
PENDING | oi3QmAmrG6M | Knights of Cydonia | Muse | Black Holes and Revelations | 6:08
PENDING | xtFQ-RdcQfI | Walk (feat. Fetty Wap) | Kwabs | Walk | 3:47
PENDING | JKlYOUfviXM | Take Me To Church | Hozier | Hozier | 4:02
PENDING | 0lth1hFKDrg | Enjoy the Silence | Depeche Mode | The Best of Depeche Mode, Vol. 1 | 4:14
PENDING | H1i5HaQV9ck | Man in the Box | Alice in Chains | Facelift | 4:46
PENDING | CrK30cUIAY8 | Ölümlü | Pentagram | Bir | 5:18
PENDING | 0Ebp063ZLZE | Diskotek | Panik | Almayan Boyle Olsun | 4:30
PENDING | KN8iev5UcAo | Kam | Pentagram | Bir | 3:43
PENDING | Spjezy3fBAs | Bu Alemi Gören Sensin | Pentagram | Bir | 6:36
PENDING | Ys3f1ghodqM | Şeytan Bunun Neresinde | Pentagram | Bir | 3:01
PENDING | xBghIdFSSLk | Tigris | Pentagram | Bir | 1:36
PENDING | lUTvQWBlgew | Saydim | Ogün Sanlisoy | O Gun | 4:12
PENDING | dGEps1UEtkA | Parasi Var | Ogün Sanlisoy | Üc | 3:55
PENDING | cI_CNmxF5zE | Düsmez Kalkmaz | Ogün Sanlisoy | O Gun | 4:49
PENDING | hBEfJ-Q9KEs | Pencere | Ogün Sanlisoy | O Gun | 4:09
PENDING | qQ91fEyyCew | Kendine Gel | Ogün Sanlisoy | O Gun | 4:36
PENDING | n5aPWmcyBRk | We Rock | Dio | The Last In Line | 4:34
PENDING | vBQk7dvSBTM | D'vêritû Agâge D'bitu (Re-Recorded) | Eluveitie | The Early Years | 2:18
PENDING | MBpVN8VwbwY | Ôrô (Re-Recorded) | Eluveitie | The Early Years | 1:28
PENDING | 5wOyxUmpmTw | Lament (Re-Recorded) | Eluveitie | The Early Years | 4:07
PENDING | D8fvMFC5iAU | Druid (Re-Recorded) | Eluveitie | The Early Years | 6:07
PENDING | 3hekpL6CDJg | Jêzaïg (Re-Recorded) | Eluveitie | The Early Years | 4:57
PENDING | u3q6WWLufO8 | Spirit | Eluveitie | The Early Years | 2:33
PENDING | WE5ZNnqkYN0 | Uis Elveti | Eluveitie | The Early Years | 4:24
PENDING | UiH31DrYjV4 | Your Gaulish War | Eluveitie | The Early Years | 5:12
PENDING | PA7OTCumLr4 | Of Fire, Wind & Wisdom | Eluveitie | The Early Years | 3:06
PENDING | tL3KO6V4PeA | Aidû | Eluveitie | The Early Years | 3:11
PENDING | TV7taWA8k3w | The Song of Life | Eluveitie | The Early Years | 3:59
PENDING | KJW-_hc2Pf0 | Tegernakô | Eluveitie | The Early Years | 6:43
PENDING | 4kbtkCDLO8I | Siraxta | Eluveitie | The Early Years | 5:40
PENDING | PdbVHE8XZ6g | The Endless Knot | Eluveitie | The Early Years | 7:00
PENDING | TQbI6Lvtdg4 | Andro | Eluveitie | The Early Years | 3:43
PENDING | gRRfNhXejgE | BABYMETAL DEATH | BABYMETAL | BABYMETAL | 5:49
PENDING | lBdBXx2Wq7s | Megitsune | BABYMETAL | BABYMETAL | 4:09
PENDING | 3OE09S9eJNU | Gimme Chocolate!! | BABYMETAL | BABYMETAL | 3:53
PENDING | EPiVl8hOzjA | Iine! | BABYMETAL | BABYMETAL | 4:12
PENDING | bjldhEsQCss | Akatsuki | BABYMETAL | BABYMETAL | 5:28
PENDING | QGRIP1B0EBQ | Doki Doki ☆ Morning | BABYMETAL | BABYMETAL | 3:46
PENDING | 6wh5BTEze4I | Onedari Daisakusen | BABYMETAL | BABYMETAL | 3:18
PENDING | Rcv2nBTaeCY | Song 4 | BABYMETAL | BABYMETAL | 4:05
PENDING | H3ehd5Wgweo | Uki Uki ★ Midnight | BABYMETAL | BABYMETAL | 3:20
PENDING | zI7B2whMyt4 | Catch Me If You Can | BABYMETAL | BABYMETAL | 3:58
PENDING | XcUESlvlZRw | Rondo of Nightmare | BABYMETAL | BABYMETAL | 3:37
PENDING | T_I8q9efkqs | Headbangeeeeerrrrr!!!!! | BABYMETAL | BABYMETAL | 4:01
PENDING | FKq1wBo2Svg | Ijime, Dame, Zettai | BABYMETAL | BABYMETAL | 6:06
PENDING | LK9juQTm1WE | Rasputin | Turisas | Rasputin | 3:54
PENDING | n89aEUqEvmg | Arms Around Your Love | Chris Cornell | Carry On | 3:35
PENDING | sGBqjwh9_qc | Why Does It Always Rain On Me? | Travis | The Man Who | 4:25
PENDING | pnVCIwQo2SQ | Uis Elveti (Re-Recorded) | Eluveitie | The Early Years | 4:01
PENDING | a6wePtJHbzI | Living In A World | Axxis | Kingdom Of The Night | 3:54
PENDING | Bn4MXIanf7c | Heaven in Black | AXXIS | Back to the Kingdom | 3:41
PENDING | WOjDydbww4I | Vodka | Korpiklaani | Karkelo | 3:00
PENDING | U0XcqF7rqHk | 21 Guns | Green Day | 21st Century Breakdown | 5:22
PENDING | XEVMLvzRANU | Mastermind (Remastered 2004 / Remixed) | Megadeth | Cryptic Writings (Expanded Edition - Remastered) | 3:49
PENDING | j-uZHEfo-kQ | FFF (Remastered 2004 / Remixed) | Megadeth | Cryptic Writings (Expanded Edition - Remastered) | 2:48
PENDING | igwUzoCdNCk | Bad Motherfucker | Biting Elbows | Bad Motherfucker | 3:27
PENDING | NtiYxXRBOtI | Toothpick | Biting Elbows | Biting Elbows | 3:11
PENDING | OmP10DtsK8w | City of No Palms | Biting Elbows | Biting Elbows | 2:06
PENDING | e7-3ESd3UYg | Reckoning Day (Remastered 2004) | Megadeth | Youthanasia | 4:36
PENDING | KGkPtIt0vsE | Train Of Consequences | Megadeth | Greatest Hits: Back To The Start | 3:33
PENDING | B-YnLoozIAs | Addicted To Chaos (Remastered 2004) | Megadeth | Youthanasia (Expanded Edition - Remastered) | 5:28
PENDING | 7ePqXmP--TE | A Tout Le Monde | Megadeth | Greatest Hits: Back To The Start | 4:26
PENDING | U-QvSEgEV-E | Elysian Fields (Remastered 2004) | Megadeth | Youthanasia (Expanded Edition - Remastered) | 4:03
PENDING | VzH7aU9ONxA | The Killing Road (Remastered 2004) | Megadeth | Anthology: Set The World Afire | 3:51
PENDING | m5icfCGXggc | Blood Of Heroes (Remastered 2004) | Megadeth | Youthanasia (Expanded Edition - Remastered) | 3:50
PENDING | OfUUNl94b80 | Family Tree (Remastered 2004) | Megadeth | Youthanasia (Expanded Edition - Remastered) | 4:12
